Agency,Avg Days Till Completion
Clayton County Sheriffs Office,88 days 17:56:50.017516
Clayton Police Department,3 days 11:17:46.003147500
Clayton Police Department (MO),21 days 20:05:11.232368
Clayton Village Police Department,7 days 09:29:38.267460
Clear Creek County Sheriff,10 days 21:50:59.839169333
Clearwater County Sheriff's Office,9 days 08:06:50.194767
Clearwater Police Department,95 days 01:03:35.725204110
Cleburne Police Department,39 days 18:06:34.182373
Cleveland County Sheriff,108 days 23:14:15.113226
Cleveland County Sheriff's Office,3 days 10:14:21.860141
Cleveland Heights Police Department,45 days 21:10:17.668014500
Cleveland Police Department,207 days 23:41:24.726658660
Clifton Police Department,30 days 06:44:21.734355500
Clifton Springs Village Police Department,6 days 21:48:47.125305
Climax Police Department,20 days 08:20:51.530913
Clinton County Sheriff,21 days 13:55:48.680672666
Clinton County Sheriff's Office,207 days 07:46:57.698253
Cloverdale Police Department,10 days 02:30:03.786280
Clovis Police Department,233 days 05:57:53.149679836
Clyde Village Police Department,127 days 12:10:37.438661
Coachella Police Department,4 days 00:02:34.324172
Coahoma County Sheriff's Department,30 days 08:32:19.555462
Cobb County Police Department,31 days 20:50:14.614931200
Cobb County Sheriff,5 days 07:20:55.997060
Cobleskill Village Police Department,33 days 07:33:41.090330
Cochise County Sheriff's Office,72 days 18:46:35.256351333
Cockrell Hill Police Department,77 days 22:56:07.594899500
Cocoa Police Department,71 days 19:00:00
Coffee County Sheriff,14 days 20:58:48.261746
Cohocton Police Department,5 days 02:11:41.688554500
Colchester Police Department,2 days 13:19:45.580909
Colchester Town Police Department,75 days 10:01:07.981398
Coles County Sheriff's Office,31 days 07:46:57.698253
College Park Police Department,12 days 01:59:59.469741
College Station Police Department,61 days 22:14:17.165438
Collegedale Police Department,32 days 20:00:00
Collier County Sheriff's Office,38 days 06:32:27.492514285
Collierville Police Department,216 days 08:27:23.875391
Collin County Sheriff's Office,19 days 20:00:00
Colonie Police Department,26 days 20:35:50.686042
Colorado Department of Public Safety,37 days 10:06:53.134453
Colorado Division Homeland Security And Emergency Management Department Of Public Safety,21 days 01:02:45.441178
Colorado Springs Police Department,49 days 20:28:10.752131941
Columbia County Sheriff,4 days 05:46:24.959001500
Columbia County Sheriff's Office,13 days 10:34:39.422968750
Columbia Falls Police Department,46 days 19:00:00
Columbia Police Department,107 days 07:20:55.366685420
Columbus Division of Police,22 days 22:03:47.965712029
Columbus Police Department,305 days 16:53:06.225108
Colusa County Sheriff's Office,6 days 18:15:37.997720500
Concord Police Department,33 days 05:20:27.405057
Concordia Parish Sheriff's Office,0 days 20:00:00
Conneaut Police Department,26 days 20:00:00
Connecticut State Police,239 days 05:45:59.850521624
Conroe Police Department,28 days 09:17:32.967919500
Contra Costa County Sheriff,6 days 12:11:11.167931
Converse County Sheriff's Office,80 days 11:31:11.331184
Conway County Sheriff's Office,91 days 20:18:46.717701333
Conway Police Department,6 days 20:00:00
Cook County Sheriff,38 days 08:26:50.633866371
Cookeville Police Department,15 days 01:14:16.071295500
Coos County Sheriff,34 days 22:09:19.936610
Copiah County Sheriff's Department,565 days 23:44:54.905292
Copley Township Police,19 days 20:00:00
Coppell Police Department,68 days 06:36:52.666670333
Coral Gables Police Department,73 days 05:06:28.250387
Coral Springs Police Department,77 days 17:26:50.453164500
Corfu Village Police Department,79 days 09:40:06.489475
