,Agency,Avg Days Till Completion
308,Buncombe County Sheriff,070 days 16:07:33
309,Burbank Police Department,185 days 11:56:15
310,Burke County Sheriff's Office,322 days 10:13:06
311,Burleigh County Sheriff's Department,033 days 20:00:00
312,Burlingame Police Department,018 days 09:26:49
313,Burlington County (NJ) Public Safety,416 days 19:00:00
314,Burlington County Sheriff,09 days 00:54:18
315,Burlington Police Department,324 days 04:53:20
316,Burnsville  Police Department,018 days 20:00:00
317,Burr Ridge Police Department,08 days 10:42:40
318,Burrillville Police Department,08 days 08:00:00
319,Butler County Sheriff,068 days 00:49:26
320,Butler County Sheriff's Office,030 days 19:00:00
321,Butler Police Department,094 days 17:51:43
322,Butte College Police Department,06 days 01:47:36
323,Butte County Sheriff,012 days 09:35:57
324,Butts County Sheriff,01 days 17:00:59
325,Butts County Sheriffs Dept,094 days 21:55:14
326,Byron Police Department,03 days 09:29:18
327,CSU Bakersfield Police Department,023 days 04:59:38
328,CSU Fullerton Police Department,029 days 20:31:43
329,Cabarrus County Sheriff,022 days 20:45:21
330,"Cabell County Sheriff's Office, WV",011 days 12:04:01
331,Cache County Sheriff,030 days 22:41:58
332,Cairo Town Police Department,00 days 20:00:00
333,Calais Police Department,00 days 20:00:00
334,Calaveras County Sheriff,09 days 15:30:48
335,Calaveras Sheriff's Office,034 days 01:25:31
336,Calcasieu Parish Sheriff's Office,037 days 17:47:01
337,Caldwell County Sheriff's Office,014 days 23:31:07
338,Caldwell Parish Sheriff's Office,074 days 20:00:00
339,Caledonia Village Police Department,042 days 06:30:52
340,Calexico Police Department,100 days 20:00:00
341,Calhoun County Sheriff Department,018 days 19:00:00
342,Calhoun County Sheriff's Department,027 days 19:30:00
343,Calhoun County Sheriff's Office,055 days 21:44:56
344,California City Police Department,023 days 18:12:32
345,"California State University, Fullerton - University Police",015 days 03:20:00
346,Calumet City Police Department,032 days 00:06:23
347,"Calvert County Sheriff's Department, Prince Frederick",123 days 02:00:00
348,Cambria County Sheriff's Office,01 days 02:30:34
349,Cambridge Police Department,082 days 01:44:41
350,Cambridge Village Police Department,031 days 01:59:06
351,Camden County Police Department,029 days 07:30:20
352,Camden County Sheriff,06 days 19:59:56
353,Camden County Sheriff's Office,016 days 15:52:57
354,Camden Police Department,029 days 12:45:23
355,Camden Village Police Department,144 days 06:43:48
356,Cameron County Sheriff,034 days 20:00:00
357,Cameron County Sheriff Department,05 days 20:00:00
358,Cameron Parish Sheriff's Office,017 days 20:00:00
359,Camilla Police Department,011 days 19:41:20
360,Camillus Town and Village Police Department,455 days 07:25:50
361,Campbell County Sheriff,173 days 15:58:01
362,Campbell Police Department,05 days 16:54:18
363,Campton Police Department,04 days 22:18:04
364,Canadian County Sheriff,05 days 04:42:55
365,Canajoharie Village Police Department,044 days 04:01:14
366,Canastota Village Police Department,097 days 08:15:45
367,Canby Police Department,058 days 20:00:00
368,Candor Village Police Department,02 days 08:23:42
369,Canisteo Village Police Department,065 days 10:33:37
370,Cannon County Sheriff,425 days 21:21:14
371,Canton Police Department,105 days 03:16:46
372,Canton Public Safety,025 days 16:59:58
373,Canton Village Police Department,069 days 06:27:16
374,Canyon County Sheriff's Office,024 days 02:30:13
375,Cape Coral Police Department,025 days 18:45:14
376,Cape Girardeau Police Department,07 days 05:02:03
377,Cape May County Sheriff's Office,018 days 10:42:06
378,Cape Vincent Village Police Department,09 days 08:19:53
379,Carbon County Sheriff's Office,284 days 00:48:34
380,Caribou County Sheriff's Office,034 days 08:06:50
381,Carlisle Borough Police Department,061 days 06:40:10
382,Carlsbad Police Department,077 days 18:45:06
383,"Carlsbad, CA Police Department",077 days 16:42:53
384,Carlton County Sheriff,013 days 18:38:29
385,Carmel Town Police Department,09 days 04:40:01
386,Carnegie Police Department,043 days 20:00:00
387,Carol Stream Police Department,030 days 19:30:00
388,Caroline County Police Department,09 days 00:48:00
389,Carpentersville Police Department,01 days 20:00:00
390,Carrboro Police Department,00 days 18:46:21
391,Carroll County Sheriff,136 days 13:28:30
392,Carroll County Sheriff's Office,027 days 00:49:24
393,Carroll County Sheriffs Office,00 days 20:32:53
394,Carroll Town Police Department,022 days 16:59:52
395,Carrollton Police Department,031 days 14:03:21
396,Carson City Sheriff’s Department,371 days 18:49:29
397,Carteret County Sheriff's Office,029 days 23:01:47
398,Cartersville Police Department,091 days 19:39:00
399,Carthage Police Department,156 days 17:43:00
400,Carthage Village Police Department,00 days 20:00:00
401,Carver County Sheriff's Office (minnesota),196 days 00:55:07
402,Cary Police Department,065 days 07:42:43
403,Casa Grande Police Department,020 days 20:10:44
404,Cass County Sheriff's Office,018 days 07:46:58
405,Cass County Sheriff’s Office,445 days 23:13:07
406,Cassia County Sheriff's Office,108 days 19:24:39
407,Castle Rock Police Department,04 days 18:15:26
408,Catahoula Parish Sheriff's Office,052 days 20:00:00
409,Catawba County Sheriff,034 days 05:06:38
410,Cathedral City Police Department,027 days 11:47:00
411,Cayuga Heights Police Department,078 days 12:27:49
412,Cecil County Sheriff's Office,023 days 06:25:50
413,Cedar Park Police Department,036 days 02:24:32
414,Cedar Rapids Police Department,027 days 00:49:51
415,Cedartown Police Department,01 days 04:54:46
416,Celina Police Department,034 days 20:00:00
417,Centerville Police Department,089 days 15:27:59
418,Central Connecticut State University Police Department,023 days 00:41:02
419,Central Falls Police Department,038 days 16:09:39
420,Central Marin Police Authority,043 days 23:27:35
421,Centre Island Village Police Department,068 days 15:24:56
422,Ceres Police Department,019 days 19:24:07
423,Chadron Police Department,00 days 17:52:30
424,Chaffee County Sheriff,04 days 07:38:58
425,Chambersburg Police Department,015 days 07:39:10
426,Champaign County Sheriff,04 days 21:33:01
427,Champaign Police Department,012 days 23:27:09
428,Chandler Police Department,088 days 10:25:07
429,Chapel Hill Police Department,070 days 13:50:23
430,Chardon Police,00 days 20:00:00
431,Charles County Sheriff's Office,158 days 04:58:40
432,Charleston County Sheriff's Office,069 days 20:55:03
433,Charleston Police Department,032 days 04:46:30
434,Charlestown Police Department,01 days 14:00:00
435,Charlotte County Sheriff's Office,028 days 00:27:12
436,Charlotte-Mecklenburg Police Department,100 days 04:43:20
437,Charlottesville Police Department,141 days 23:40:31
438,Chatham County Sheriff,024 days 16:26:16
439,Chatham County Sheriff's Office,035 days 02:01:33
440,Chatham County Sheriffs Office,011 days 22:17:56
441,Chatham Township Police Department,012 days 00:00:58
442,Chattahoochee Hills Police,020 days 20:27:56
443,Chattanooga Police Department,07 days 18:53:09
444,Chattooga County Sheriff's Office,010 days 18:44:02
445,Chaves County Sheriff's Office,01 days 07:30:00
446,Cheatham County Sheriff’s Office,446 days 06:22:07
447,Cheektowaga Police Department,335 days 21:25:34
448,Chelan County Sheriff,014 days 01:58:42
449,Chelmsford Police Department,035 days 19:40:00
450,Chelsea Police Department,539 days 15:55:23
451,Chemung County Sheriff,020 days 00:51:43
452,Chenango County Sheriff's Office,04 days 08:30:00
453,Cherokee County Sheriff's Office,017 days 11:06:56
454,Chesapeake City Police Department,038 days 21:32:00
455,Chester Police Department,180 days 20:00:00
456,Chesterfield Police Department,09 days 06:52:33
457,Chevy Chase Police,01 days 22:06:47
458,Cheyenne County Sheriff,013 days 23:09:30
459,Chicago City Council Committee On Public Safety,051 days 22:10:45
460,Chicago Office Of Police Accountability,016 days 09:26:38
461,Chicago Police Department,064 days 15:20:39
462,Chichester Police Department,017 days 17:07:01
463,Chickasaw Nation Lighthorse Police Department,048 days 20:00:00
464,Chico Police Department,068 days 07:59:40
465,Chicopee Police Department,014 days 07:30:00
466,Chillicothe Police,07 days 19:24:57
467,Chino Police Department,292 days 10:10:10
468,Chisago County Sheriff,06 days 14:18:16
469,Chittenango Village Police Department,237 days 15:24:53
470,Chittenden County Sheriff's Department,02 days 20:00:00
471,Chowan County Sheriff's Office,013 days 04:30:20
472,Christian County Sheriff MO,284 days 08:20:52
473,Christian County Sheriff's Office,033 days 16:30:07
