,Agency,Avg Days Till Completion
318,Burrillville Police Department,8 days 08:00:00
319,Butler County Sheriff,68 days 00:49:26.160645
320,Butler County Sheriff's Office,30 days 19:00:00
321,Butler Police Department,94 days 17:51:42.555206
322,Butte College Police Department,6 days 01:47:35.697488
323,Butte County Sheriff,12 days 09:35:56.509818200
324,Butts County Sheriff,1 days 17:00:59.079203
325,Butts County Sheriffs Dept,94 days 21:55:14.168445
326,Byron Police Department,3 days 09:29:17.768522500
327,CSU Bakersfield Police Department,23 days 04:59:38.247264
328,CSU Fullerton Police Department,29 days 20:31:42.936018
329,Cabarrus County Sheriff,22 days 20:45:21.367271
330,"Cabell County Sheriff's Office, WV",11 days 12:04:01.303871
331,Cache County Sheriff,30 days 22:41:58.625167
332,Cairo Town Police Department,0 days 20:00:00
333,Calais Police Department,0 days 20:00:00
334,Calaveras County Sheriff,9 days 15:30:47.854648666
335,Calaveras Sheriff's Office,34 days 01:25:31.185637
336,Calcasieu Parish Sheriff's Office,37 days 17:47:00.925677
337,Caldwell County Sheriff's Office,14 days 23:31:06.658055
338,Caldwell Parish Sheriff's Office,74 days 20:00:00
339,Caledonia Village Police Department,42 days 06:30:51.844034
340,Calexico Police Department,100 days 20:00:00
341,Calhoun County Sheriff Department,18 days 19:00:00
342,Calhoun County Sheriff's Department,27 days 19:30:00
343,Calhoun County Sheriff's Office,55 days 21:44:56.017148800
344,California City Police Department,23 days 18:12:32.030589
345,"California State University, Fullerton - University Police",15 days 03:20:00
346,Calumet City Police Department,32 days 00:06:22.835591
347,"Calvert County Sheriff's Department, Prince Frederick",123 days 01:59:59.888881
348,Cambria County Sheriff's Office,1 days 02:30:33.830225
349,Cambridge Police Department,82 days 01:44:41.014005259
350,Cambridge Village Police Department,31 days 01:59:05.904759
351,Camden County Police Department,29 days 07:30:20.079941500
352,Camden County Sheriff,6 days 19:59:55.707117
353,Camden County Sheriff's Office,16 days 15:52:57.267341
354,Camden Police Department,29 days 12:45:22.687619666
355,Camden Village Police Department,144 days 06:43:47.568552
356,Cameron County Sheriff,34 days 20:00:00
357,Cameron County Sheriff Department,5 days 20:00:00
358,Cameron Parish Sheriff's Office,17 days 20:00:00
359,Camilla Police Department,11 days 19:41:19.672474
360,Camillus Town and Village Police Department,455 days 07:25:49.916377
361,Campbell County Sheriff,173 days 15:58:01.004380500
362,Campbell Police Department,5 days 16:54:18.423322333
363,Campton Police Department,4 days 22:18:04.391109
364,Canadian County Sheriff,5 days 04:42:55.477647
365,Canajoharie Village Police Department,44 days 04:01:14.040355
366,Canastota Village Police Department,97 days 08:15:44.808019
367,Canby Police Department,58 days 20:00:00
368,Candor Village Police Department,2 days 08:23:42.304299
369,Canisteo Village Police Department,65 days 10:33:37.061713
370,Cannon County Sheriff,425 days 21:21:14.358521
371,Canton Police Department,105 days 03:16:46.498115500
372,Canton Public Safety,25 days 16:59:57.607818
373,Canton Village Police Department,69 days 06:27:15.589536
374,Canyon County Sheriff's Office,24 days 02:30:12.724354
375,Cape Coral Police Department,25 days 18:45:13.965697500
376,Cape Girardeau Police Department,7 days 05:02:03.200151
377,Cape May County Sheriff's Office,18 days 10:42:05.780743
378,Cape Vincent Village Police Department,9 days 08:19:53.304441
379,Carbon County Sheriff's Office,284 days 00:48:33.859427
380,Caribou County Sheriff's Office,34 days 08:06:50.194767
381,Carlisle Borough Police Department,61 days 06:40:09.067009
382,Carlsbad Police Department,77 days 18:45:06.636806
383,"Carlsbad, CA Police Department",77 days 16:42:53.101776668
384,Carlton County Sheriff,13 days 18:38:28.704701
385,Carmel Town Police Department,9 days 04:40:00.796250
386,Carnegie Police Department,43 days 20:00:00
387,Carol Stream Police Department,30 days 19:30:00
388,Caroline County Police Department,9 days 00:48:00.206614
389,Carpentersville Police Department,1 days 20:00:00
390,Carrboro Police Department,0 days 18:46:20.974739
391,Carroll County Sheriff,136 days 13:28:30.035972750
392,Carroll County Sheriff's Office,27 days 00:49:24.337255666
393,Carroll County Sheriffs Office,0 days 20:32:53.269925
394,Carroll Town Police Department,22 days 16:59:51.829051
395,Carrollton Police Department,31 days 14:03:20.867572
396,Carson City Sheriff’s Department,371 days 18:49:29.087680
397,Carteret County Sheriff's Office,29 days 23:01:46.758749
398,Cartersville Police Department,91 days 19:39:00.485130
399,Carthage Police Department,156 days 17:42:59.982196
400,Carthage Village Police Department,0 days 20:00:00
401,Carver County Sheriff's Office (minnesota),196 days 00:55:06.885370
402,Cary Police Department,65 days 07:42:43.414432889
403,Casa Grande Police Department,20 days 20:10:44.233584
404,Cass County Sheriff's Office,18 days 07:46:57.698253
405,Cass County Sheriff’s Office,445 days 23:13:07.359656
406,Cassia County Sheriff's Office,108 days 19:24:39.085790
407,Castle Rock Police Department,4 days 18:15:26.394153
